 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.66.97:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [28/May/2026 13:15:38] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:15:38] "GET /api/poller/log?limit=3 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:24] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:24] "GET /api/poller/log?limit=20 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:29] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:29] "GET /api/poller/log?limit=20 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:45] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:45] "GET /api/poller/log?limit=20 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:50] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:50] "GET /api/poller/log?limit=20 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:55] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:20:55] "GET /api/poller/log?limit=20 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:00] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:00] "GET /api/poller/log?limit=20 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:05] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:05] "GET /api/poller/log?limit=20 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:07] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [28/May/2026 13:21:10] "GET /api/poller/status HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:10] "GET /api/poller/config HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:10] "GET /api/poller/log?limit=80 HTTP/1.1" 200 -
127.0.0.1 - - [28/May/2026 13:21:11] "GET /api/poller/status HTTP/1.1" 200 -
